                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.40242,                0.35835,                0.97578,                 0.9938,                0.98615,                0.99269,                  0.978,                0.23745,                0.22189,                0.80863,             0.00045365,             0.00045365,             0.00045365
                     48,                0.39881,                0.35034,                0.96918,                0.99346,                0.98692,                0.99231,                0.97888,                 0.2272,                 0.2165,                0.80296,             0.00044541,             0.00044541,             0.00044541
                     49,                0.39445,                0.34658,                0.96703,                0.99385,                0.98619,                0.99208,                0.97793,                0.22762,                0.21662,                0.80266,             0.00043716,             0.00043716,             0.00043716
                     50,                0.38688,                0.34553,                0.96589,                0.99607,                0.98634,                0.99169,                0.97762,                0.22468,                0.21461,                0.80311,             0.00042891,             0.00042891,             0.00042891
                     51,                0.37958,                0.33385,                0.96001,                0.99372,                0.98637,                0.99205,                0.97952,                0.21875,                0.21149,                0.79884,             0.00042066,             0.00042066,             0.00042066
                     52,                0.38935,                0.34311,                0.96698,                 0.9966,                0.98713,                0.99301,                0.98047,                0.21906,                0.20971,                0.80183,             0.00041242,             0.00041242,             0.00041242
                     53,                0.37082,                0.32992,                0.95643,                0.99561,                0.98665,                 0.9924,                0.98037,                0.21491,                 0.2031,                0.79741,             0.00040417,             0.00040417,             0.00040417
                     54,                0.38148,                0.33106,                0.96625,                0.99382,                0.98641,                0.99181,                0.98062,                 0.2125,                0.20865,                0.79896,             0.00039592,             0.00039592,             0.00039592
                     55,                0.38472,                0.34109,                0.96287,                0.99478,                0.98709,                 0.9926,                0.98137,                0.22348,                0.20988,                0.80069,             0.00038768,             0.00038768,             0.00038768
                     56,                0.37254,                0.32451,                0.95753,                0.99399,                0.98754,                0.99345,                0.98248,                 0.2073,                0.20238,                0.79599,             0.00037943,             0.00037943,             0.00037943
                     57,                0.37766,                0.33407,                0.96349,                0.99632,                0.98655,                0.99293,                0.98176,                0.20577,                0.20215,                0.79493,             0.00037118,             0.00037118,             0.00037118
                     58,                0.36424,                0.32572,                0.95125,                0.99331,                0.98792,                0.99304,                0.98274,                0.20125,                0.19753,                0.79147,             0.00036294,             0.00036294,             0.00036294
                     59,                0.36104,                0.31544,                0.94514,                0.99459,                0.98652,                0.99271,                0.98169,                0.20061,                0.19701,                0.79122,             0.00035469,             0.00035469,             0.00035469
                     60,                0.36988,                0.32784,                0.95673,                0.99535,                0.98784,                0.99263,                 0.9817,                0.20536,                0.20347,                0.79156,             0.00034644,             0.00034644,             0.00034644
                     61,                0.36017,                0.32323,                0.95308,                0.99598,                0.98594,                0.99273,                0.98382,                0.19323,                0.19101,                0.78896,              0.0003382,              0.0003382,              0.0003382
                     62,                0.35913,                0.31689,                 0.9533,                0.99341,                0.98804,                 0.9926,                0.98297,                 0.1945,                0.19412,                0.78808,             0.00032995,             0.00032995,             0.00032995
                     63,                  0.356,                0.31402,                0.94906,                0.99536,                 0.9871,                0.99252,                0.98308,                0.19239,                0.18755,                0.78746,              0.0003217,              0.0003217,              0.0003217
                     64,                0.35127,                0.31144,                0.94495,                 0.9967,                0.98661,                0.99309,                0.98398,                0.19374,                0.18975,                0.78562,             0.00031346,             0.00031346,             0.00031346
                     65,                0.34888,                0.30595,                0.94415,                0.99675,                0.98674,                0.99286,                0.98363,                0.18723,                0.18328,                 0.7842,             0.00030521,             0.00030521,             0.00030521
                     66,                0.34006,                0.30208,                0.93927,                0.99517,                0.98818,                0.99334,                 0.9843,                0.19078,                 0.1868,                0.78553,             0.00029696,             0.00029696,             0.00029696
                     67,                0.34517,                0.30517,                0.94132,                0.99666,                0.98636,                0.99291,                0.98256,                0.18624,                0.18564,                0.78364,             0.00028872,             0.00028872,             0.00028872
                     68,                0.33676,                0.29748,                0.93618,                0.99446,                0.98966,                0.99361,                0.98423,                0.18432,                0.17936,                0.78367,             0.00028047,             0.00028047,             0.00028047
                     69,                0.33551,                0.29655,                0.93535,                0.99583,                0.98785,                0.99305,                0.98494,                0.18074,                0.17868,                0.78321,             0.00027222,             0.00027222,             0.00027222
                     70,                 0.3402,                0.29781,                0.94195,                0.99598,                0.98643,                0.99293,                0.98467,                 0.1799,                0.17824,                 0.7802,             0.00026398,             0.00026398,             0.00026398
                     71,                0.32679,                0.29021,                0.92663,                0.99681,                0.98766,                 0.9935,                0.98487,                0.18074,                0.17987,                0.77998,             0.00025573,             0.00025573,             0.00025573
                     72,                0.32775,                0.29123,                0.93522,                0.99469,                0.98879,                0.99302,                0.98532,                0.17712,                0.17644,                0.78026,             0.00024748,             0.00024748,             0.00024748
                     73,                0.33225,                0.29362,                 0.9339,                0.99759,                0.98708,                0.99302,                0.98506,                0.17679,                0.17572,                0.77891,             0.00023924,             0.00023924,             0.00023924
                     74,                 0.3263,                0.28918,                0.93131,                0.99478,                0.98908,                0.99268,                0.98438,                0.17336,                 0.1738,                0.77915,             0.00023099,             0.00023099,             0.00023099
                     75,                0.32128,                0.28696,                0.92765,                0.99589,                0.98706,                0.99274,                0.98501,                0.17206,                 0.1727,                0.77897,             0.00022274,             0.00022274,             0.00022274
                     76,                0.31607,                0.28225,                0.92638,                0.99273,                0.99022,                0.99267,                0.98558,                0.17298,                0.17171,                0.77824,              0.0002145,              0.0002145,              0.0002145
                     77,                0.31193,                0.28033,                0.92425,                0.99726,                0.98744,                0.99331,                0.98619,                0.16977,                 0.1683,                0.77597,             0.00020625,             0.00020625,             0.00020625
                     78,                 0.3158,                0.27938,                0.92736,                0.99781,                0.98748,                0.99305,                0.98577,                0.16734,                0.16947,                 0.7769,               0.000198,               0.000198,               0.000198
                     79,                0.31381,                0.27449,                 0.9278,                0.99723,                0.98668,                0.99292,                0.98599,                0.16726,                0.16969,                0.77888,             0.00018976,             0.00018976,             0.00018976
                     80,                0.30931,                0.27725,                0.92822,                0.99786,                0.98744,                0.99339,                0.98674,                0.16398,                0.16521,                0.77541,             0.00018151,             0.00018151,             0.00018151
                     81,                0.31266,                0.27785,                0.92684,                0.99784,                0.98693,                0.99315,                0.98634,                0.16813,                0.16765,                0.77706,             0.00017326,             0.00017326,             0.00017326
                     82,                0.30762,                  0.274,                0.92275,                0.99451,                0.98982,                 0.9931,                0.98648,                0.16468,                0.16491,                 0.7756,             0.00016502,             0.00016502,             0.00016502
                     83,                0.30869,                0.27056,                0.92858,                0.99355,                0.98989,                0.99361,                0.98686,                0.16225,                0.16447,                  0.774,             0.00015677,             0.00015677,             0.00015677
                     84,                0.30063,                0.26811,                0.92136,                0.99622,                0.98813,                0.99333,                0.98685,                0.16227,                0.16348,                0.77367,             0.00014852,             0.00014852,             0.00014852
                     85,                0.29954,                0.26977,                0.91959,                 0.9965,                0.98818,                0.99388,                0.98685,                0.16114,                 0.1618,                0.77381,             0.00014028,             0.00014028,             0.00014028
                     86,                0.29139,                0.26239,                0.91397,                0.99731,                  0.988,                0.99328,                0.98671,                0.16009,                0.16151,                0.77372,             0.00013203,             0.00013203,             0.00013203
                     87,                0.30162,                0.26573,                 0.9206,                0.99798,                0.98712,                0.99313,                0.98649,                0.15976,                0.16051,                0.77396,             0.00012378,             0.00012378,             0.00012378
                     88,                0.29592,                0.26381,                0.91858,                0.99816,                0.98741,                0.99308,                0.98641,                 0.1582,                0.16057,                0.77268,             0.00011554,             0.00011554,             0.00011554
                     89,                0.28816,                0.25963,                0.91594,                0.99552,                0.98965,                0.99328,                0.98708,                0.15779,                0.15843,                0.77164,             0.00010729,             0.00010729,             0.00010729
